ACT,AGE,AGO,ANC,C,CEN,CIV,CLS,CRS,CU,DG,DLG,EN,FR,GOV,ID,MRQ,NFC,PLA,PSS,RISKY,SX,TV,USG,VN,VV
EMPLOYE,4,3,2,T,105,Mme,2,CI-4P,1,TUNIS CENTRE,El Omrane Superieur,ES,1,Tunis,218682,OPEL,2,2,3,No,F,OXEP68,VP,4,4
PROFESSIONS_MEDICALES,5,5,2,T,119,Mme,9,CI-4P,1,TUNIS SUD,Nouvelle Medina,ES,1,Ben Arous,870282,FIAT,2,2,3,No,F,146E555A,VP,1,1
EMPLOYE,4,6,5,T,109,Mr,1,CI-4P,1,CAPBON,Nabeul,ES,1,Nabeul,231482,VOLKSWAGEN,2,2,5,No,M,1HX0AMENAG,VP,2,2
CORPS_ACTIFS,5,3,5,T,116,Mr,1,CI-4P,1,TUNIS NORD,Le Bardo,ES,1,Tunis,278682,RENAULT,2,2,3,No,M,LBVV05,VP,2,2
PROFESSIONS_MEDICALES,4,3,5,T,103,Mr,2,CI-4P,1,SAHEL,Sousse Jaouhara,ES,1,Sousse,243082,VOLKSWAGEN,2,2,3,No,M,6R12C4,VP,3,3
ETAT,1,3,1,T,805,Mme,8,CI-4P,1,TUNIS NORD,Le Bardo,ES,1,Tunis,1077082,VOLKSWAGEN,2,2,3,No,F,AU,VP,4,4
EDUCATION_FORMATION,4,3,4,T,132,Mr,2,CI-4P,1,SAHEL,Sousse Riadh,ES,1,Sousse,439482,RENAULT,2,2,3,No,M,5R0K0H,VP,3,3
EMPLOYE,3,1,2,T,126,Mr,1,BREAK,1,NORD OUEST,Jendouba,ES,0,Jendouba,485482,CHERY,5,2,4,No,M,T3XDE00TL5W,VP,5,5
INGENIEUR,3,3,2,T,130,Mr,8,CI-4P,1,TUNIS SUD,Bou Arada,ES,0,Siliana,390482,VOLKSWAGEN,5,2,2,No,M,6C12C1,VP,3,3
RETRAITE,6,2,3,T,101,Mr,1,CI-4P,1,TUNIS CENTRE,Ettahrir,ES,0,Tunis,101882,TOYOTA,5,2,3,No,M,NRE210LDHXN,VP,5,5
EMPLOYE,4,4,1,T,122,Mme,1,CI-4P,1,TUNIS SUD,El Kabbaria,ES,1,Tunis,1098682,RENAULT,2,2,3,No,F,BZ1A07,VP,3,3
PARAMEDICAL,1,2,2,T,131,Mme,8,CABRIOLET,1,CAPBON,Hammamet,ES,1,Nabeul,877082,KIA,2,2,2,No,F,G6S6K2615,VP,2,2
INGENIEUR,4,4,3,T,116,Mr,1,CI-4P,1,TUNIS NORD,Le Bardo,ES,1,Tunis,231882,RENAULT,2,2,3,No,M,LBVV05,VP,2,2
EDUCATION_FORMATION,3,2,3,T,130,Mr,1,CI-4P,5,TUNIS SUD,Hammam Lif,ES,1,Ben Arous,274882,RENAULT,2,2,3,No,M,4SRAP4,VP,3,3
EMPLOYE,2,2,2,T,151,Mme,4,CI-2P,4,SAHEL,Sousse Riadh,ES,1,Sousse,858082,FIAT,2,2,2,No,F,312AXA1AXX,VP,4,4
METIERS_LEGAUX,3,4,2,T,101,Mr,3,BREAK,1,TUNIS CENTRE,Bab Bhar,DI,0,Tunis,488082,PEUGEOT,5,2,3,No,M,7J9HTB,VP,2,2
PROFESSIONS_MEDICALES,0,5,1,T,150,Mr,4,CI-4P,1,TUNIS NORD,Le Bardo,DI,1,Tunis,1021282,PEUGEOT,2,2,3,Yes,M,7BWJZT,VP,1,1
